frame= 3183 fps= 30 q=21.0 size=  100608kB time=00:01:44.13 bitrate=7914.7kbits/s speed=0.982x    
frame= 3199 fps= 30 q=21.0 size=  101120kB time=00:01:44.66 bitrate=7914.4kbits/s speed=0.982x    
frame= 3215 fps= 30 q=21.0 size=  101632kB time=00:01:45.20 bitrate=7914.2kbits/s speed=0.982x    
frame= 3231 fps= 30 q=21.0 size=  102144kB time=00:01:45.73 bitrate=7913.9kbits/s speed=0.982x    
frame= 3246 fps= 30 q=21.0 size=  102656kB time=00:01:46.23 bitrate=7916.1kbits/s speed=0.982x    
frame= 3262 fps= 30 q=21.0 size=  102912kB time=00:01:46.76 bitrate=7896.2kbits/s speed=0.982x    
frame= 3277 fps= 30 q=21.0 size=  103424kB time=00:01:47.26 bitrate=7898.5kbits/s speed=0.982x    
frame= 3293 fps= 30 q=21.0 size=  103936kB time=00:01:47.80 bitrate=7898.4kbits/s speed=0.983x    
frame= 3308 fps= 30 q=21.0 size=  104448kB time=00:01:48.30 bitrate=7900.6kbits/s speed=0.983x    
frame= 3324 fps= 30 q=21.0 size=  104960kB time=00:01:48.83 bitrate=7900.4kbits/s speed=0.983x    
