,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Completion_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Previous_Reference_Task,Next_Reference_Task
363,participant_31,2,5,1,363,shortcut,R,1567119810473,1567119812508,1567119812508,4837,1432,6269,2035,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
365,participant_31,2,5,2,365,shortcut,Q,1567119813972,1567119815908,1567119815908,1968,62,2030,1936,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
367,participant_31,2,5,3,367,shortcut,K,1567119817940,1567119819408,1567119819408,3438,67,3505,1468,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
369,participant_31,2,5,4,369,shortcut,L,1567119821439,1567119823574,1567119823574,4099,1465,5564,2135,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
371,participant_31,2,5,5,371,shortcut,M,1567119825071,1567119826508,1567119826508,1469,66,1535,1437,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
373,participant_31,2,5,6,373,shortcut,T,1567119830804,1567119832509,1567119832509,5935,1264,7199,1705,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
375,participant_31,2,5,7,375,shortcut,Z,1567119833807,1567119835674,1567119835674,1901,1300,3201,1867,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
377,participant_31,2,5,8,377,shortcut,Z,1567119837006,1567119839141,1567119839141,2167,167,2334,2135,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
379,participant_31,2,5,9,379,shortcut,C,1567119841309,1567119843276,1567119843276,3968,134,4102,1967,0,0,False,shortcut,shortcut,shortcut,shortcut,word,word
381,participant_31,2,5,10,381,shortcut,M,1567119847309,1567119849105,1567119849105,5695,1438,7133,1796,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
383,participant_31,2,5,11,383,shortcut,up,1567119850571,1567119852173,1567119852173,1630,70,1700,1602,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
385,participant_31,2,5,12,385,shortcut,H,1567119854607,1567119856241,1567119856241,3998,1701,5699,1634,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
387,participant_31,2,5,13,387,shortcut,J,1567119857972,1567119859739,1567119859739,1797,171,1968,1767,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
391,participant_31,2,5,15,391,shortcut,left,1567119866307,1567119867643,1567119867643,1366,65,1431,1336,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
395,participant_31,2,5,17,395,shortcut,L,1567119874772,1567119876809,1567119876809,4304,1667,5971,2037,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
397,participant_31,2,5,18,397,shortcut,left,1567119878506,1567119880110,1567119880110,1634,1133,2767,1604,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
399,participant_31,2,5,19,399,shortcut,M,1567119881275,1567119882707,1567119882707,1464,69,1533,1432,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
401,participant_31,2,5,20,401,shortcut,V,1567119886143,1567119887809,1567119887809,5033,1234,6267,1666,0,0,False,shortcut,shortcut,shortcut,shortcut,word,click
407,participant_31,2,5,23,407,shortcut,F,1567119897776,1567119899809,1567119899809,2065,1135,3200,2033,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
409,participant_31,2,5,24,409,shortcut,C,1567119900977,1567119903010,1567119903010,2066,1300,3366,2033,0,0,False,shortcut,shortcut,shortcut,shortcut,click,click
411,participant_31,2,5,25,411,shortcut,Y,1567119904343,1567119906109,1567119906109,1799,101,1900,1766,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
